!CSV A.01.01
!Keysight Technologies,N5247B,MY58422921,A.14.80.08
!Date: Wednesday, April 12, 2023 00:56:39
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
63460000000,-11.250478,-17.845705
63520000000,-12.184216,-141.74152
63580000000,-11.996203,91.00647
63640000000,-12.663128,-31.577272
63700000000,-11.595696,-154.40305
63760000000,-10.95824,75.400261
63820000000,-10.319823,-54.35104
63880000000,-10.198249,174.24396
63940000000,-10.3297,44.137985
64000000000,-10.790257,-84.656227
64060000000,-11.40755,151.04211
64120000000,-10.764717,24.636028
64180000000,-11.178267,-102.89713
64240000000,-10.338812,133.69174
64300000000,-10.218694,1.3352566
64360000000,-10.61826,-125.93597
64420000000,-10.795847,106.88138
64480000000,-10.931973,-19.537472
64540000000,-10.860101,-145.04112
64600000000,-10.685436,86.368942
64660000000,-10.427004,-40.122631
64720000000,-10.283947,-170.51161
64780000000,-10.464316,61.649048
64840000000,-10.67944,-67.576653
64900000000,-10.693233,168.04846
64960000000,-10.641423,38.234074
65020000000,-10.954143,-88.014915
65080000000,-10.802333,144.44054
65140000000,-10.882569,15.66818
65200000000,-11.31597,-112.54779
65260000000,-11.315873,122.74732
65320000000,-11.448157,-6.1105604
65380000000,-11.586801,-129.23396
65440000000,-11.056354,103.03844
65500000000,-11.222809,-26.270468
65560000000,-11.281332,-151.37999
65620000000,-11.009346,80.434998
65680000000,-11.094027,-47.057926
65740000000,-11.015908,-175.36726
65800000000,-10.87678,56.580372
65860000000,-11.185015,-72.144203
65920000000,-11.362111,162.03275
65980000000,-11.506013,35.384541
66040000000,-11.580771,-91.094566
66100000000,-11.359433,146.90295
66160000000,-10.664215,15.568484
66220000000,-11.117241,-110.79968
66280000000,-10.676008,120.09508
66340000000,-11.086438,-8.3616323
66400000000,-11.114373,-135.62146
66460000000,-11.192997,99.784225
66520000000,-10.699368,-30.876068
66580000000,-11.419333,-159.49126
66640000000,-11.182282,74.558739
66700000000,-11.502131,-54.296505
66760000000,-11.89137,-179.13257
66820000000,-11.728271,57.336449
66880000000,-11.335457,-68.920944
66940000000,-10.957561,164.21758
67000000000,-10.724174,33.951572
67060000000,-10.97066,-95.397881
67120000000,-11.277384,136.50548
67180000000,-11.83045,10.328932
67240000000,-11.943269,-113.93931
67300000000,-11.698805,120.69911
67360000000,-11.48999,-7.9663291
67420000000,-11.374454,-134.47949
67480000000,-11.258256,94.29055
67540000000,-11.651853,-34.00029
67600000000,-12.138959,-161.83327
67660000000,-12.362717,73.609901
67720000000,-12.446135,-52.676693
67780000000,-12.568969,-176.78023
67840000000,-11.937274,55.447456
67900000000,-11.872581,-73.284698
67960000000,-12.186078,156.74028
68020000000,-12.569563,30.410461
68080000000,-12.681229,-96.164421
68140000000,-12.920232,138.01825
68200000000,-12.949207,10.968793
68260000000,-12.814056,-112.13489
68320000000,-12.387086,121.04543
68380000000,-11.783557,-5.1531444
68440000000,-10.551674,-142.61221
68500000000,-12.689833,86.371078
68560000000,-13.52361,-40.118843
68620000000,-14.270253,-159.0197
68680000000,-13.208585,80.042152
68740000000,-12.712401,-47.167316
68800000000,-12.708038,-176.55179
68860000000,-12.324019,57.716282
68920000000,-13.067696,-72.588684
68980000000,-12.956878,163.40361
69040000000,-13.324635,38.827644
69100000000,-12.921827,-85.814133
69160000000,-12.7559,149.14613
69220000000,-12.211949,23.950888
69280000000,-11.724843,-104.66286
69340000000,-11.545656,125.297
69400000000,-11.971804,-3.7017183
69460000000,-12.347958,-129.37959
69520000000,-12.946709,108.36726
69580000000,-11.888741,-11.059384
69640000000,-11.514448,-136.80521
69700000000,-10.227087,95.430428
69760000000,-10.663768,-33.740223
69820000000,-9.5749874,-150.49326
69880000000,-8.7364683,77.148293
69940000000,-8.2689171,-51.099552
70000000000,-7.7924972,-179.91275
END

